gameid,Down,ToGo,RushAtt,RushYds,PassTgt,PassCmp,PassYds,Converted,back,layerkey
201209090tam,1,169.0,17.0,77.0,0.0,0.0,0.0,2.0,dm,1dm
201209090tam,2,77.0,7.0,18.0,3.0,3.0,21.0,3.0,dm,2dm
201209090tam,3,7.0,0.0,0.0,1.0,1.0,2.0,0.0,dm,3dm
201209090tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201209160nyg,1,130.0,12.0,45.0,1.0,0.0,0.0,1.0,dm,1dm
201209160nyg,2,61.0,7.0,22.0,1.0,0.0,0.0,2.0,dm,2dm
201209160nyg,3,10.0,1.0,-1.0,1.0,0.0,0.0,0.0,dm,3dm
201209160nyg,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201209230dal,1,140.0,11.0,43.0,2.0,2.0,21.0,2.0,dm,1dm
201209230dal,2,60.0,6.0,17.0,1.0,0.0,0.0,0.0,dm,2dm
201209230dal,3,15.0,2.0,-2.0,0.0,0.0,0.0,0.0,dm,3dm
201209230dal,4,1.0,1.0,2.0,0.0,0.0,0.0,1.0,dm,4dm
201209300tam,1,90.0,6.0,34.0,2.0,1.0,6.0,1.0,dm,1dm
201209300tam,2,49.0,3.0,18.0,3.0,1.0,3.0,1.0,dm,2dm
201209300tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,3dm
201209300tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201210140tam,1,151.0,11.0,62.0,4.0,2.0,55.0,4.0,dm,1dm
201210140tam,2,25.0,2.0,14.0,1.0,0.0,45.0,2.0,dm,2dm
201210140tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,3dm
201210140tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201210210tam,1,142.0,12.0,26.0,2.0,2.0,21.0,2.0,dm,1dm
201210210tam,2,60.0,4.0,59.0,1.0,1.0,18.0,3.0,dm,2dm
201210210tam,3,15.0,0.0,0.0,1.0,1.0,5.0,0.0,dm,3dm
201210210tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201210250min,1,193.0,15.0,52.0,4.0,1.0,6.0,2.0,dm,1dm
201210250min,2,111.0,11.0,77.0,2.0,2.0,73.0,5.0,dm,2dm
201210250min,3,7.0,3.0,6.0,0.0,0.0,0.0,2.0,dm,3dm
201210250min,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201211040rai,1,185.0,17.0,169.0,2.0,2.0,9.0,5.0,dm,1dm
201211040rai,2,101.0,8.0,100.0,3.0,2.0,12.0,4.0,dm,2dm
201211040rai,3,16.0,1.0,-8.0,0.0,0.0,0.0,0.0,dm,3dm
201211040rai,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201211110tam,1,100.0,10.0,38.0,0.0,0.0,0.0,0.0,dm,1dm
201211110tam,2,72.0,7.0,30.0,3.0,3.0,51.0,3.0,dm,2dm
201211110tam,3,4.0,2.0,0.0,0.0,0.0,0.0,0.0,dm,3dm
201211110tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201211180car,1,200.0,17.0,120.0,3.0,2.0,10.0,5.0,dm,1dm
201211180car,2,76.0,6.0,14.0,2.0,2.0,13.0,0.0,dm,2dm
201211180car,3,1.0,1.0,5.0,0.0,0.0,0.0,1.0,dm,3dm
201211180car,4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,dm,4dm
201211250tam,1,120.0,14.0,36.0,0.0,0.0,0.0,1.0,dm,1dm
201211250tam,2,79.0,7.0,21.0,3.0,3.0,55.0,5.0,dm,2dm
201211250tam,3,1.0,1.0,-3.0,0.0,0.0,0.0,0.0,dm,3dm
201211250tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201212020den,1,130.0,11.0,31.0,2.0,1.0,2.0,0.0,dm,1dm
201212020den,2,93.0,7.0,28.0,3.0,3.0,44.0,3.0,dm,2dm
201212020den,3,6.0,2.0,8.0,0.0,0.0,0.0,1.0,dm,3dm
201212020den,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201212090tam,1,208.0,14.0,68.0,5.0,4.0,5.0,1.0,dm,1dm
201212090tam,2,109.0,12.0,62.0,1.0,0.0,0.0,3.0,dm,2dm
201212090tam,3,12.0,4.0,5.0,0.0,0.0,0.0,2.0,dm,3dm
201212090tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201212160nor,1,120.0,7.0,14.0,4.0,3.0,19.0,1.0,dm,1dm
201212160nor,2,30.0,3.0,3.0,1.0,0.0,0.0,0.0,dm,2dm
201212160nor,3,4.0,0.0,0.0,1.0,1.0,4.0,1.0,dm,3dm
201212160nor,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201212230tam,1,160.0,12.0,63.0,4.0,4.0,41.0,2.0,dm,1dm
201212230tam,2,42.0,6.0,14.0,3.0,2.0,12.0,4.0,dm,2dm
201212230tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,3dm
201212230tam,4,7.0,0.0,0.0,1.0,1.0,4.0,0.0,dm,4dm
