pname,year,epa,wpa,asst,ff,g,int,pd,qbhit,rank,sc,sk,skyd,tf,team,tkl,tklloss,probowl,firstteam,secondteam
D.Brooks,1999,83.1,2.89,34,2,16,4,18,1,0,116,2,22,1.54,TB,119,14,1.0,1.0,0.0
D.Edwards,1999,81.5,2.47,25,1,16,5,8,3,1,77,3,18,1.41,KC,98,8,0.0,0.0,0.0
R.Lewis,1999,70.5,2.46,35,0,16,3,8,4,2,105,4,21,1.75,BLT,130,19,1.0,1.0,0.0
G.Cadrez,1999,55.9,2.28,21,3,16,0,7,6,3,60,7,26,0.88,DEN,61,7,0.0,0.0,0.0
L.Kirkland,1999,68.5,2.26,22,4,16,1,7,2,4,74,2,12,1.23,PIT,89,12,0.0,0.0,0.0
B.Minter,1999,57.0,2.01,25,3,16,2,6,3,5,62,3,22,1.2,CHI,96,8,0.0,0.0,0.0
Z.Thomas,1999,52.3,1.88,49,1,16,1,9,1,6,80,1,10,1.5,MIA,85,13,1.0,1.0,0.0
C.Bennett,1999,55.4,1.88,33,5,15,0,5,3,7,64,5,31,1.09,IND,72,10,0.0,0.0,0.0
M.Lewis,1999,51.6,1.86,30,4,16,0,7,4,8,70,6,33,0.86,NYJ,59,9,1.0,0.0,0.0
G.Biekert,1999,55.4,1.86,32,1,16,2,7,2,9,83,2,11,1.45,OAK,104,9,0.0,0.0,0.0
R.Fredrickson,1999,57.3,1.84,30,5,16,2,4,1,10,77,2,6,1.06,ARZ,95,7,0.0,0.0,0.0
J.Armstead,1999,59.9,1.71,26,2,16,2,3,8,11,80,9,40,1.19,NYG,97,21,1.0,0.0,1.0
S.Barber,1999,52.8,1.65,19,3,15,2,8,1,12,63,1,7,1.19,WAS,80,3,0.0,0.0,0.0
T.Bruschi,1999,43.9,1.61,35,1,14,1,8,2,13,83,2,8,1.1,NE,73,9,0.0,0.0,0.0
D.Rudd,1999,50.5,1.61,28,3,16,0,8,2,14,68,3,25,1.12,MIN,89,11,0.0,0.0,0.0
H.Nickerson,1999,47.3,1.59,44,3,16,2,5,0,15,64,1,1,1.11,TB,66,6,1.0,0.0,1.0
J.Seau,1999,47.8,1.56,24,1,14,1,9,3,16,68,4,32,1.2,SD,74,13,1.0,0.0,1.0
E.McDaniel,1999,51.4,1.52,34,0,16,0,3,2,17,72,2,6,1.16,MIN,87,10,0.0,0.0,0.0
