player,team,position,year,salary
Acie Law,ATL,1,2018,0
Acie Law,ATL,1,2017,0
Acie Law,ATL,1,2016,0
Acie Law,ATL,1,2015,0
Acie Law,ATL,1,2014,0
Acie Law,ATL,1,2013,0
Acie Law,ATL,1,2012,0
Acie Law,ATL,1,2011,0
Acie Law,ATL,1,2010,0
Acie Law,ATL,1,2009,2071680
Acie Law,ATL,1,2008,1927080
Acie Law,ATL,1,2007,0
Acie Law,ATL,1,2006,0
Acie Law,ATL,1,2005,0
Acie Law,ATL,1,2004,0
Acie Law,ATL,1,2003,0
Acie Law,ATL,1,2002,0
Acie Law,ATL,1,2001,0
Acie Law,ATL,1,2000,0
Acie Law,ATL,1,1999,0
Acie Law,ATL,1,1998,0
Al Harrington,ATL,4,2018,0
Al Harrington,ATL,4,2017,0
Al Harrington,ATL,4,2016,0
Al Harrington,ATL,4,2015,0
Al Harrington,ATL,4,2014,0
Al Harrington,ATL,4,2013,0
Al Harrington,ATL,4,2012,0
Al Harrington,ATL,4,2011,0
Al Harrington,ATL,4,2010,0
Al Harrington,ATL,4,2009,0
Al Harrington,ATL,4,2008,0
Al Harrington,ATL,4,2007,0
Al Harrington,ATL,4,2006,6957500
Al Harrington,ATL,4,2005,6325000
Al Harrington,ATL,4,2004,0
Al Harrington,ATL,4,2003,0
Al Harrington,ATL,4,2002,0
Al Harrington,ATL,4,2001,0
Al Harrington,ATL,4,2000,0
Al Harrington,ATL,4,1999,0
Al Harrington,ATL,4,1998,0
Al Horford,ATL,5,2018,0
Al Horford,ATL,5,2017,0
Al Horford,ATL,5,2016,12000000
Al Horford,ATL,5,2015,12000000
Al Horford,ATL,5,2014,12000000
Al Horford,ATL,5,2013,12000000
Al Horford,ATL,5,2012,12000000
Al Horford,ATL,5,2011,5444857
Al Horford,ATL,5,2010,4307640
Al Horford,ATL,5,2009,4026720
Al Horford,ATL,5,2008,3745800
Al Horford,ATL,5,2007,0
Al Horford,ATL,5,2006,0
Al Horford,ATL,5,2005,0
Al Horford,ATL,5,2004,0
Al Horford,ATL,5,2003,0
Al Horford,ATL,5,2002,0
Al Horford,ATL,5,2001,0
Al Horford,ATL,5,2000,0
Al Horford,ATL,5,1999,0
Al Horford,ATL,5,1998,0
Alan Henderson,ATL,4,2018,0
Alan Henderson,ATL,4,2017,0
Alan Henderson,ATL,4,2016,0
Alan Henderson,ATL,4,2015,0
Alan Henderson,ATL,4,2014,0
Alan Henderson,ATL,4,2013,0
Alan Henderson,ATL,4,2012,0
Alan Henderson,ATL,4,2011,0
Alan Henderson,ATL,4,2010,0
Alan Henderson,ATL,4,2009,0
Alan Henderson,ATL,4,2008,0
Alan Henderson,ATL,4,2007,0
Alan Henderson,ATL,4,2006,0
Alan Henderson,ATL,4,2005,0
Alan Henderson,ATL,4,2004,7682188
Alan Henderson,ATL,4,2003,7091250
Alan Henderson,ATL,4,2002,6500312
Alan Henderson,ATL,4,2001,5910000
Alan Henderson,ATL,4,2000,5318437
Alan Henderson,ATL,4,1999,4725000
Alan Henderson,ATL,4,1998,1028400
Anthony Johnson,ATL,1,2018,0
Anthony Johnson,ATL,1,2017,0
Anthony Johnson,ATL,1,2016,0
Anthony Johnson,ATL,1,2015,0
