ff,game,interc,passyds,points,rushyds,sacks,team,teamyear,year
0.0,0,0.0,0.0,0.0,0.0,0.0,atl,atl2012,2012
1.0,1,2.0,241.0,24.0,152.0,3.0,atl,atl2012,2012
2.0,2,5.0,459.0,45.0,270.0,6.0,atl,atl2012,2012
4.0,3,7.0,623.0,48.0,386.0,7.0,atl,atl2012,2012
7.0,4,7.0,828.0,76.0,585.0,10.0,atl,atl2012,2012
7.0,5,9.0,1015.0,93.0,714.0,13.0,atl,atl2012,2012
9.0,6,10.0,1340.0,113.0,863.0,16.0,atl,atl2012,2012
10.0,7,10.0,1518.0,130.0,955.0,19.0,atl,atl2012,2012
10.0,8,10.0,1830.0,143.0,1020.0,20.0,atl,atl2012,2012
10.0,9,11.0,2122.0,174.0,1168.0,21.0,atl,atl2012,2012
11.0,10,11.0,2163.0,193.0,1305.0,24.0,atl,atl2012,2012
11.0,11,11.0,2439.0,216.0,1355.0,26.0,atl,atl2012,2012
11.0,12,16.0,2774.0,229.0,1456.0,27.0,atl,atl2012,2012
12.0,13,16.0,3054.0,259.0,1651.0,28.0,atl,atl2012,2012
13.0,14,18.0,3213.0,259.0,1748.0,29.0,atl,atl2012,2012
15.0,15,19.0,3656.0,277.0,1827.0,29.0,atl,atl2012,2012
15.0,16,20.0,3878.0,299.0,1971.0,29.0,atl,atl2012,2012
0.0,0,0.0,0.0,0.0,0.0,0.0,buf,buf2012,2012
2.0,1,1.0,266.0,48.0,118.0,0.0,buf,buf2012,2012
4.0,2,2.0,538.0,65.0,268.0,5.0,buf,buf2012,2012
4.0,3,4.0,745.0,79.0,301.0,9.0,buf,buf2012,2012
7.0,4,4.0,1078.0,131.0,548.0,10.0,buf,buf2012,2012
8.0,5,4.0,1388.0,176.0,859.0,10.0,buf,buf2012,2012
8.0,6,6.0,1538.0,192.0,1041.0,15.0,buf,buf2012,2012
9.0,7,6.0,1731.0,227.0,1238.0,17.0,buf,buf2012,2012
9.0,8,6.0,1987.0,248.0,1356.0,19.0,buf,buf2012,2012
9.0,9,6.0,2217.0,285.0,1473.0,20.0,buf,buf2012,2012
10.0,10,8.0,2341.0,299.0,1533.0,23.0,buf,buf2012,2012
12.0,11,9.0,2566.0,319.0,1620.0,27.0,buf,buf2012,2012
15.0,12,10.0,2752.0,337.0,1670.0,30.0,buf,buf2012,2012
16.0,13,11.0,2959.0,352.0,1748.0,31.0,buf,buf2012,2012
16.0,14,11.0,3155.0,402.0,2018.0,33.0,buf,buf2012,2012
17.0,15,11.0,3274.0,426.0,2200.0,35.0,buf,buf2012,2012
20.0,16,12.0,3473.0,435.0,2333.0,36.0,buf,buf2012,2012
0.0,0,0.0,0.0,0.0,0.0,0.0,car,car2012,2012
0.0,1,0.0,128.0,16.0,130.0,2.0,car,car2012,2012
1.0,2,2.0,451.0,43.0,293.0,3.0,car,car2012,2012
2.0,3,2.0,731.0,79.0,418.0,5.0,car,car2012,2012
2.0,4,3.0,1036.0,109.0,539.0,12.0,car,car2012,2012
3.0,5,5.0,1248.0,125.0,637.0,14.0,car,car2012,2012
4.0,6,5.0,1475.0,144.0,722.0,14.0,car,car2012,2012
6.0,7,6.0,1606.0,167.0,801.0,20.0,car,car2012,2012
6.0,8,6.0,1792.0,180.0,952.0,24.0,car,car2012,2012
9.0,9,6.0,2087.0,216.0,1017.0,25.0,car,car2012,2012
10.0,10,8.0,2323.0,243.0,1184.0,26.0,car,car2012,2012
13.0,11,8.0,2430.0,265.0,1388.0,27.0,car,car2012,2012
13.0,12,8.0,2627.0,292.0,1546.0,28.0,car,car2012,2012
13.0,13,9.0,2954.0,312.0,1581.0,30.0,car,car2012,2012
16.0,14,9.0,3048.0,319.0,1651.0,35.0,car,car2012,2012
16.0,15,10.0,3190.0,325.0,1698.0,36.0,car,car2012,2012
16.0,16,11.0,3568.0,363.0,1761.0,38.0,car,car2012,2012
0.0,0,0.0,0.0,0.0,0.0,0.0,chi,chi2012,2012
2.0,1,3.0,293.0,21.0,63.0,3.0,chi,chi2012,2012
3.0,2,4.0,508.0,44.0,169.0,8.0,chi,chi2012,2012
3.0,3,6.0,609.0,50.0,228.0,14.0,chi,chi2012,2012
