date,opp,fanpts,team,playoffs,year,recs,yards,tds,qb,tdsbincenter,tdsbinnum,recsbincenter,recsbinnum,yardsbincenter,yardsbinnum,fanptsbincenter,fanptsbinnum
200510300,kan,0,sdg,0,2005,0,0,0,Brees,0,0,0,0,10,0,1,0
200511060,nyj,1,sdg,0,2005,1,18,0,Brees,0,1,1,0,10,1,1,1
200511270,was,0,sdg,0,2005,0,0,0,Brees,0,2,0,1,10,2,1,2
200512110,mia,0,sdg,0,2005,0,0,0,Brees,0,3,0,2,10,3,1,3
200512180,clt,4,sdg,0,2005,2,41,0,Brees,0,4,2,0,50,0,3,0
200512240,kan,0,sdg,0,2005,0,0,0,Brees,0,5,0,3,10,4,1,4
200512310,den,0,sdg,0,2005,0,0,0,Brees,0,6,0,4,10,5,1,5
200609110,rai,0,sdg,0,2006,0,0,0,Rivers,0,7,0,5,10,6,1,6
200609170,oti,7,sdg,0,2006,2,15,1,Rivers,1,0,2,1,10,7,7,0
200610010,rav,0,sdg,0,2006,1,6,0,Rivers,0,8,1,1,10,8,1,7
200610080,pit,1,sdg,0,2006,1,13,0,Rivers,0,9,1,2,10,9,1,8
200610150,sfo,9,sdg,0,2006,1,33,1,Rivers,1,1,1,3,30,0,9,0
200610220,kan,0,sdg,0,2006,0,0,0,Rivers,0,10,0,6,10,10,1,9
200610290,ram,0,sdg,0,2006,0,0,0,Rivers,0,11,0,7,10,11,1,10
200611050,cle,1,sdg,0,2006,1,11,0,Rivers,0,12,1,4,10,12,1,11
200611120,cin,1,sdg,0,2006,1,18,0,Rivers,0,13,1,5,10,13,1,12
200611190,den,9,sdg,0,2006,3,39,1,Rivers,1,2,3,0,30,1,9,1
200611260,rai,3,sdg,0,2006,3,32,0,Rivers,0,14,3,1,30,2,3,1
200612030,buf,0,sdg,0,2006,0,0,0,Rivers,0,15,0,8,10,14,1,13
200612100,den,9,sdg,0,2006,3,95,0,Rivers,0,16,3,2,90,0,9,2
200612170,kan,6,sdg,0,2006,3,66,0,Rivers,0,17,3,3,70,0,5,0
200612240,sea,21,sdg,0,2006,5,97,2,Rivers,2,0,5,0,90,1,21,0
200612310,crd,8,sdg,0,2006,3,28,1,Rivers,1,3,3,4,30,3,7,1
200701140,nwe,4,sdg,1,2006,2,43,0,Rivers,0,18,2,2,50,1,3,2
200709090,chi,2,sdg,0,2007,3,28,0,Rivers,0,19,3,5,30,4,1,14
200709160,nwe,5,sdg,0,2007,4,53,0,Rivers,0,20,4,0,50,2,5,1
200709230,gnb,15,sdg,0,2007,6,98,1,Rivers,1,4,6,0,90,2,15,0
200709300,kan,5,sdg,0,2007,3,52,0,Rivers,0,21,3,6,50,3,5,2
200710070,den,14,sdg,0,2007,3,84,1,Rivers,1,5,3,7,90,3,13,0
200710140,rai,0,sdg,0,2007,1,5,0,Rivers,0,22,1,6,10,15,1,15
200710280,htx,0,sdg,0,2007,0,0,0,Rivers,0,23,0,9,10,16,1,16
200711040,min,1,sdg,0,2007,1,16,0,Rivers,0,24,1,7,10,17,1,17
200711110,clt,2,sdg,0,2007,2,28,0,Rivers,0,25,2,3,30,5,1,18
200711180,jax,2,sdg,0,2007,1,20,0,Rivers,0,26,1,8,10,18,1,19
200711250,rav,6,sdg,0,2007,5,65,0,Rivers,0,27,5,1,70,1,5,3
200712020,kan,9,sdg,0,2007,1,38,1,Rivers,1,6,1,9,30,6,9,3
